;Tweet;Sentimen;ProcessedText;step01;tokens;tokens_perbaikan;Stop_removal;step02;step03_stemmed
10;Ya Allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayang...Ya Allah lindungilah kami dari penyakit berjangkit covid 19... Aamiin.. aamiin ya rabbal a'lamin..stay at home.. jangan keluar rumah;1.0;iya allah mohon mu kenan doa doa rana sungguh engkau maha asih maha penyayangya allah lindung sakit jangkit covid moga moga iya rabbal alaminstay at home rumah;ya allah kami memohon pada mu perkenankanlah doa doa kami kerana sesungguhnya engkaulah yang maha pengasih lagi maha penyayangya allah lindungilah kami dari penyakit berjangkit covid aamiin aamiin ya rabbal alaminstay at home jangan keluar rumah;['ya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayangya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'aamiin', 'aamiin', 'ya', 'rabbal', 'alaminstay', 'at', 'home', 'jangan', 'keluar', 'rumah'];['iya', 'allah', 'kami', 'memohon', 'pada', 'mu', 'perkenankanlah', 'doa', 'doa', 'kami', 'kerana', 'sesungguhnya', 'engkaulah', 'yang', 'maha', 'pengasih', 'lagi', 'maha', 'penyayangya', 'allah', 'lindungilah', 'kami', 'dari', 'penyakit', 'berjangkit', 'covid', 'semoga', 'semoga', 'iya', 'rabbal', 'alaminstay', 'at', 'home', 'jangan', 'keluar', 'rumah'];['iya', 'allah', 'memohon', 'mu', 'perkenankanlah', 'doa', 'doa', 'kerana', 'sesungguhnya', 'engkaulah', 'maha', 'pengasih', 'maha', 'penyayangya', 'allah', 'lindungilah', 'penyakit', 'berjangkit', 'covid', 'semoga', 'semoga', 'iya', 'rabbal', 'alaminstay', 'at', 'home', 'rumah'];iya allah memohon mu perkenankanlah doa doa kerana sesungguhnya engkaulah maha pengasih maha penyayangya allah lindungilah penyakit berjangkit covid semoga semoga iya rabbal alaminstay at home rumah;iya allah mohon mu kenan doa doa rana sungguh engkau maha asih maha penyayangya allah lindung sakit jangkit covid moga moga iya rabbal alaminstay at home rumah
11;Sah.. Cegah Covid-19 Meluas, Pemerintah Revisi Hari Libur dan Cuti Bersama 2020;1.0;sah cegah covid luas perintah revisi libur cuti;sah cegah covid meluas pemerintah revisi hari libur dan cuti bersama;['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama'];['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama'];['sah', 'cegah', 'covid', 'meluas', 'pemerintah', 'revisi', 'libur', 'cuti'];sah cegah covid meluas pemerintah revisi libur cuti;sah cegah covid luas perintah revisi libur cuti
12;"Bencana Nasional Covid-19; DPRD Indramayu Minta BUMD Beri Keringanan Tagihan Kredit hingga Tagihan PDAM |";1.0;bencana nasional covid dprd indramayu bumd ringan tagih kredit tagih pdam;bencana nasional covid dprd indramayu minta bumd beri keringanan tagihan kredit hingga tagihan pdam;['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam'];['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam'];['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'bumd', 'keringanan', 'tagihan', 'kredit', 'tagihan', 'pdam'];bencana nasional covid dprd indramayu bumd keringanan tagihan kredit tagihan pdam;bencana nasional covid dprd indramayu bumd ringan tagih kredit tagih pdam
13;Cegah Covid-19, Pemprov dan FKUB Papua Barat Sepakat Adakan Doa Bersama Serentak. OPM;1.0;cegah covid pemprov fkub papua barat sepakat adakan doa serentak opm;cegah covid pemprov dan fkub papua barat sepakat adakan doa bersama serentak opm;['cegah', 'covid', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm'];['cegah', 'covid', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm'];['cegah', 'covid', 'pemprov', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'serentak', 'opm'];cegah covid pemprov fkub papua barat sepakat adakan doa serentak opm;cegah covid pemprov fkub papua barat sepakat adakan doa serentak opm
14;"pagi... kenapa ya di daerah sy (cipinang besar selatan) rt 7 rw 6 nya tdk prnh aware dgn warganya. Setiap ada bantuan tidak pernah transparansi &amp; kejadian covid ini jg tidak ada tindakan semprot disinfektan, dbd jg banyak tp tidak ada fogging. Tp uang kas ttp jalan";1.0;pagi iya daerah cipinang selatan rw nya prnh aware warga bantu transparansi amp jadi covid jg tindak semprot disinfektan dbd jg fogging uang kas jalan;pagi kenapa ya di daerah sy cipinang besar selatan rw nya tdk prnh aware dgn warganya setiap ada bantuan tidak pernah transparansi amp kejadian covid ini jg tidak ada tindakan semprot disinfektan dbd jg banyak tp tidak ada fogging tp uang kas ttp jalan;['pagi', 'kenapa', 'ya', 'di', 'daerah', 'sy', 'cipinang', 'besar', 'selatan', 'rw', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'amp', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tp', 'tidak', 'ada', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan'];['pagi', 'kenapa', 'iya', 'di', 'daerah', 'saya', 'cipinang', 'besar', 'selatan', 'rw', 'nya', 'tidak', 'prnh', 'aware', 'dengan', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'amp', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tapi', 'tidak', 'ada', 'fogging', 'tapi', 'uang', 'kas', 'tetap', 'jalan'];['pagi', 'iya', 'daerah', 'cipinang', 'selatan', 'rw', 'nya', 'prnh', 'aware', 'warganya', 'bantuan', 'transparansi', 'amp', 'kejadian', 'covid', 'jg', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'fogging', 'uang', 'kas', 'jalan'];pagi iya daerah cipinang selatan rw nya prnh aware warganya bantuan transparansi amp kejadian covid jg tindakan semprot disinfektan dbd jg fogging uang kas jalan;pagi iya daerah cipinang selatan rw nya prnh aware warga bantu transparansi amp jadi covid jg tindak semprot disinfektan dbd jg fogging uang kas jalan
15;Skrinews - Pdt. JIMMY: MARI BERSAMA MEMERANGI VIRUS CORONA (COVID-19) DEMI MENJAGA TANAH PAPUA;1.0;skrinews pdt jimmy mari rang virus corona covid jaga tanah papua;skrinews pdt jimmy mari bersama memerangi virus corona covid demi menjaga tanah papua;['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'demi', 'menjaga', 'tanah', 'papua'];['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'demi', 'menjaga', 'tanah', 'papua'];['skrinews', 'pdt', 'jimmy', 'mari', 'memerangi', 'virus', 'corona', 'covid', 'menjaga', 'tanah', 'papua'];skrinews pdt jimmy mari memerangi virus corona covid menjaga tanah papua;skrinews pdt jimmy mari rang virus corona covid jaga tanah papua
16;Ada 15 cara menyuruh Covid-19 segera pergi, Jaga kebersihan dan ketertiban. Bukankah Covid-19 telah mendidik kita agar selalu menjaga kebersihan badan, pakaian, barang dan lingkungan dengan rajin mandi, mencuci tangan, dan tidak sembarangan membuang sampah?;1.0;suruh covid pergi jaga bersih tertib covid didik jaga bersih badan pakai barang lingkung rajin mandi cuci tangan sembarang buang sampah;ada cara menyuruh covid segera pergi jaga kebersihan dan ketertiban bukankah covid telah mendidik kita agar selalu menjaga kebersihan badan pakaian barang dan lingkungan dengan rajin mandi mencuci tangan dan tidak sembarangan membuang sampah;['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];['menyuruh', 'covid', 'pergi', 'jaga', 'kebersihan', 'ketertiban', 'covid', 'mendidik', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'lingkungan', 'rajin', 'mandi', 'mencuci', 'tangan', 'sembarangan', 'membuang', 'sampah'];menyuruh covid pergi jaga kebersihan ketertiban covid mendidik menjaga kebersihan badan pakaian barang lingkungan rajin mandi mencuci tangan sembarangan membuang sampah;suruh covid pergi jaga bersih tertib covid didik jaga bersih badan pakai barang lingkung rajin mandi cuci tangan sembarang buang sampah
17;Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit Covid-19. OPM;1.0;menteri agama provinsi papua barat azis hegemur umat islam provinsi papua barat imbau tolak makam jenazah pasien positif jangkit covid opm;kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit covid opm;['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'opm'];['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'opm'];['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'umat', 'islam', 'provinsi', 'papua', 'barat', 'diimbau', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'opm'];kementerian agama provinsi papua barat azis hegemur umat islam provinsi papua barat diimbau menolak pemakaman jenazah pasien positif terjangkit covid opm;menteri agama provinsi papua barat azis hegemur umat islam provinsi papua barat imbau tolak makam jenazah pasien positif jangkit covid opm
18;Aku baru bangun tidur, dan menyeruput kopi sedikit. Ketika ibuk mencak2 gak karuan. Satu orang pahlawan garis depan Covid-19 meninggal dunia dan ditolak warga setempat. Mungkin lebih tepatnya sekolompok warga yang kurang edukasi.;1.0;bangun tidur seruput kopi ibuk mencak karuan orang pahlawan garis covid tinggal dunia tolak warga tepat sekolompok warga edukasi;aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak gak karuan satu orang pahlawan garis depan covid meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi;['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak', 'tidak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];['bangun', 'tidur', 'menyeruput', 'kopi', 'ibuk', 'mencak', 'karuan', 'orang', 'pahlawan', 'garis', 'covid', 'meninggal', 'dunia', 'ditolak', 'warga', 'tepatnya', 'sekolompok', 'warga', 'edukasi'];bangun tidur menyeruput kopi ibuk mencak karuan orang pahlawan garis covid meninggal dunia ditolak warga tepatnya sekolompok warga edukasi;bangun tidur seruput kopi ibuk mencak karuan orang pahlawan garis covid tinggal dunia tolak warga tepat sekolompok warga edukasi
19;Jangan mudik dong! Ancaman penyebaran COVID-19 yang lebih luas. - Tandatangani Petisi! via;1.0;mudik ancam sebar covid luas tandatangani petisi via;jangan mudik dong ancaman penyebaran covid yang lebih luas tandatangani petisi via;['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];['mudik', 'ancaman', 'penyebaran', 'covid', 'luas', 'tandatangani', 'petisi', 'via'];mudik ancaman penyebaran covid luas tandatangani petisi via;mudik ancam sebar covid luas tandatangani petisi via
20;Berita seperti ini tidak akan ditengok oleh Muflis DUNGU Kecuali berita HOAX macam kudeta MBS, 150 pangeran kena COVID-19 yg sumbernya sama dari kaum LIBERAL;-1.0;berita tengok muflis dungu kecuali berita bohong kudeta mbs pangeran kena covid sumber kaum liberal;berita seperti ini tidak akan ditengok oleh muflis dungu kecuali berita hoax macam kudeta mbs pangeran kena covid yg sumbernya sama dari kaum liberal;['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'macam', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal'];['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'bohong', 'macam', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yang', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal'];['berita', 'ditengok', 'muflis', 'dungu', 'kecuali', 'berita', 'bohong', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'sumbernya', 'kaum', 'liberal'];berita ditengok muflis dungu kecuali berita bohong kudeta mbs pangeran kena covid sumbernya kaum liberal;berita tengok muflis dungu kecuali berita bohong kudeta mbs pangeran kena covid sumber kaum liberal
21;Giat Bhabinkamtibmas Polsek Tamalatea bersama Aparatur Desa Kareloe dan Relawan melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19;1.0;giat bhabinkamtibmas polsek tamalatea aparatur desa kareloe rawan semprot disinfektan cegah sebar virus covid;giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid;['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid'];['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid'];['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'aparatur', 'desa', 'kareloe', 'relawan', 'penyemprotan', 'disinfektan', 'mencegah', 'penyebaran', 'virus', 'covid'];giat bhabinkamtibmas polsek tamalatea aparatur desa kareloe relawan penyemprotan disinfektan mencegah penyebaran virus covid;giat bhabinkamtibmas polsek tamalatea aparatur desa kareloe rawan semprot disinfektan cegah sebar virus covid
22;Temanggung, Jawa Tengah...anggota gugus tugas covid 19 kelurahan mungseng, temanggung...mau tak bagiin di posko...;-1.0;tanggung jawa tengahanggota gugus tugas covid lurah mungseng temanggungmau bagiin posko;temanggung jawa tengahanggota gugus tugas covid kelurahan mungseng temanggungmau tak bagiin di posko;['temanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggungmau', 'tak', 'bagiin', 'di', 'posko'];['temanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggungmau', 'tak', 'bagiin', 'di', 'posko'];['temanggung', 'jawa', 'tengahanggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggungmau', 'bagiin', 'posko'];temanggung jawa tengahanggota gugus tugas covid kelurahan mungseng temanggungmau bagiin posko;tanggung jawa tengahanggota gugus tugas covid lurah mungseng temanggungmau bagiin posko
23;Profil Operasional Bandara AP II di Tengah Pandemi COVID-19;0.0;profil operasional bandara ap ii pandemi covid;profil operasional bandara ap ii di tengah pandemi covid;['profil', 'operasional', 'bandara', 'ap', 'ii', 'di', 'tengah', 'pandemi', 'covid'];['profil', 'operasional', 'bandara', 'ap', 'ii', 'di', 'tengah', 'pandemi', 'covid'];['profil', 'operasional', 'bandara', 'ap', 'ii', 'pandemi', 'covid'];profil operasional bandara ap ii pandemi covid;profil operasional bandara ap ii pandemi covid
